"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","Hr","h1","%Hr",90.52,"bereinigt"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","T","h1","°C",-1.2,"bereinigt"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","WD","h1","°",169.94,"bereinigt"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","WVs","h1","m/s",0.44,"bereinigt"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","WVv","h1","m/s",0.07,"bereinigt"
"2025-01-01T10:00+0100","Zch_Rosengartenstrasse","p","h1","hPa",976.94,"bereinigt"
"2025-01-01T10:00+0100","Zch_Schimmelstrasse","Hr","h1","%Hr",98.9,"bereinigt"
"2025-01-01T10:00+0100","Zch_Schimmelstrasse","RainDur","h1","min",0.0,"bereinigt"
"2025-01-01T10:00+0100","Zch_Schimmelstrasse","T","h1","°C",-0.63,"bereinigt"
"2025-01-01T10:00+0100","Zch_Schimmelstrasse","WD","h1","°",320.75,"bereinigt"
"2025-01-01T10:00+0100","Zch_Schimmelstrasse","WVs","h1","m/s",0.68,"bereinigt"
"2025-01-01T10:00+0100","Zch_Schimmelstrasse","WVv","h1","m/s",0.39,"bereinigt"
